State,Action,QValue
17452,8,-1
17454,5,-1
17454,7,-1
17864,4,-1
17864,5,-1
17870,4,-1
17870,5,-1
17872,4,-0.3
17872,5,10
17888,4,-0.3
17890,4,-1
17896,4,-1
17942,5,0
17944,5,-1
17950,5,-0.3
18104,4,-1
18104,5,-1
18106,4,-0.3
18106,5,10
18130,4,-0.3
18184,5,0
18350,4,-1
18350,6,-1
18356,4,-1
18358,4,-0.51
18374,4,-0.3
18374,6,10
18376,4,-1
18376,6,-1
18382,4,-1
18428,6,-1
18430,6,-0.3
18454,6,-0.3
18512,2,-1
18512,3,-1
18512,5,-1
18512,6,-1
18518,2,-1
18518,3,-1
18518,5,-1
18518,7,-1
18520,2,-0.3
18520,3,-0.3
18520,8,7
18536,2,-0.3
18536,3,-0.3
18536,7,7
18538,2,-1
18538,3,-1
18538,6,-1
18538,8,-1
18544,2,-1
18544,3,-1
18544,7,-1
18544,8,-1
18566,2,-0.999906
18566,4,-0.999906
18572,2,-1
18572,4,-1
18574,2,0
18574,4,0
18574,8,0
18584,3,-0.999866
18584,4,-0.999808
18596,4,-1
18600,4,-0.3
18600,5,10
18608,3,0
18608,4,0
18608,7,0
18610,3,-1
18610,4,-1
18614,4,-0.3
18614,6,10
18618,4,-1
18622,4,-1
18622,8,-1
18624,4,-1
18624,7,-1
18644,2,-1
18646,2,-1
18646,8,-1
18652,2,-1
18652,8,-1
18662,3,-1
18662,7,-1
18664,3,-1
18668,6,-1
18672,5,-1
18676,8,-0.3
18678,5,-1
18678,7,-1
18688,3,-1
18688,7,-1
18694,6,-1
18694,8,-1
18696,7,-0.3
18752,2,-1
18752,5,-1
18752,6,-1
18752,7,-1
18754,2,7
18754,6,-0.3
18754,8,-0.3
18778,2,-0.51
18778,6,7
18778,8,-0.3
18806,2,-0.3
18806,4,0
18808,2,0
18808,4,0
18808,8,0
18824,4,-0.999977
18824,7,-0.999977
18826,4,0
18830,4,-0.3
18830,6,0
18834,4,-0.3
18834,5,10
18850,4,-0.3
18850,7,10
18856,4,0
18856,6,0
18856,8,0
18858,4,-0.3
18858,7,10
18886,2,-0.3
18886,8,-0.3
18910,6,0
18910,8,0
18912,5,-1
18912,7,-1
19076,4,-0.3
19076,6,10
19078,4,-1
19078,6,-1
19084,4,-0.3
19102,4,-0.3
19102,6,0
19156,6,-0.51
19238,3,-0.3
19238,5,-0.3
19238,7,7
19240,3,-1
19240,5,-1
19240,6,-1
19240,8,-1
19246,3,-0.657
19246,5,7
19246,7,-0.51
19264,3,-0.3
19264,8,-0.3
19292,4,-0.3
19294,4,-1
19294,8,-1
19300,4,-0.3
19300,8,10
19310,3,0
19310,4,0
19310,7,0
19312,3,-0.3
19312,4,-0.3
19316,4,0
19316,6,10
19320,4,-1
19320,5,-1
19324,4,-0.3
19324,8,10
19326,4,0
19326,5,0
19326,7,0
19344,4,-0.3
19344,7,0
19372,8,-0.3
19390,3,0
19390,7,0
19396,6,-1
19396,8,-1
19398,5,-0.3
19398,7,-0.3
19480,5,0
19480,6,0
19534,4,-0.3
19534,8,3
19552,4,-0.3
19552,7,3
19558,4,0
19558,6,0
19558,8,0
19560,4,0
19560,5,0
19560,7,0
